"location","indicator","Unit","Date","Value"
"Arkansas","Miscellaneous","Index, High=High cost of living","2020Q4","96.5"
"Arkansas","Miscellaneous","Index, High=High cost of living","2021Q1","97.4"
"Arkansas","Miscellaneous","Index, High=High cost of living","2021Q2","98"
"Arkansas","Miscellaneous","Index, High=High cost of living","2021Q3","101.8"
"Arkansas","Miscellaneous","Index, High=High cost of living","2022Q1","99.7"
"Arkansas","Miscellaneous","Index, High=High cost of living","2022Q2","98.8"
"Arkansas","Miscellaneous","Index, High=High cost of living","2022Q3","100.6"
"Arkansas","Miscellaneous","Index, High=High cost of living","2023Q1","99.1"
"Arkansas","Miscellaneous","Index, High=High cost of living","2023Q2","98.6"
"Arkansas","Miscellaneous","Index, High=High cost of living","2023Q3","97.3"
"Arkansas","Miscellaneous","Index, High=High cost of living","2017","92.2"
"Arkansas","Miscellaneous","Index, High=High cost of living","2019","95.6"
"Arkansas","Miscellaneous","Index, High=High cost of living","2020","96.1"
"Arkansas","Miscellaneous","Index, High=High cost of living","2021","102.1"
"Arkansas","Miscellaneous","Index, High=High cost of living","2022","99.3"
"Arkansas","Miscellaneous","Index, High=High cost of living","2023","97.7"
"Arizona","Cost of Living Index","Index, High=High cost of living","2017Q1","96.6"
"Arizona","Cost of Living Index","Index, High=High cost of living","2017Q2","96.5"
"Arizona","Cost of Living Index","Index, High=High cost of living","2017Q3","96"
"Arizona","Cost of Living Index","Index, High=High cost of living","2018Q1","94.6"
"Arizona","Cost of Living Index","Index, High=High cost of living","2019Q1","24"
"Arizona","Cost of Living Index","Index, High=High cost of living","2019Q2","101"
"Arizona","Cost of Living Index","Index, High=High cost of living","2019Q3","99.9"
"Arizona","Cost of Living Index","Index, High=High cost of living","2020Q1","100.1"
"Arizona","Cost of Living Index","Index, High=High cost of living","2020Q3","101.3"
"Arizona","Cost of Living Index","Index, High=High cost of living","2020Q4","101.4"
"Arizona","Cost of Living Index","Index, High=High cost of living","2021Q1","102.1"
"Arizona","Cost of Living Index","Index, High=High cost of living","2021Q2","102.4"
"Arizona","Cost of Living Index","Index, High=High cost of living","2021Q3","107"
"Arizona","Cost of Living Index","Index, High=High cost of living","2022Q1","106.7"
"Arizona","Cost of Living Index","Index, High=High cost of living","2022Q2","106.9"
"Arizona","Cost of Living Index","Index, High=High cost of living","2022Q3","108"
"Arizona","Cost of Living Index","Index, High=High cost of living","2023Q1","107.2"
"Arizona","Cost of Living Index","Index, High=High cost of living","2023Q2","107.1"
"Arizona","Cost of Living Index","Index, High=High cost of living","2023Q3","110"
"Arizona","Cost of Living Index","Index, High=High cost of living","1960","12.5092"
"Arizona","Cost of Living Index","Index, High=High cost of living","1961","12.62301"
"Arizona","Cost of Living Index","Index, High=High cost of living","1962","13.0518"
"Arizona","Cost of Living Index","Index, High=High cost of living","1963","13.22658"
"Arizona","Cost of Living Index","Index, High=High cost of living","1964","13.6414"
"Arizona","Cost of Living Index","Index, High=High cost of living","1965","14.13444"
"Arizona","Cost of Living Index","Index, High=High cost of living","1966","14.92982"
"Arizona","Cost of Living Index","Index, High=High cost of living","1967","15.68082"
"Arizona","Cost of Living Index","Index, High=High cost of living","1968","16.8114"
"Arizona","Cost of Living Index","Index, High=High cost of living","1969","18.30604"
"Arizona","Cost of Living Index","Index, High=High cost of living","1970","19.63099"
"Arizona","Cost of Living Index","Index, High=High cost of living","1971","20.78356"
"Arizona","Cost of Living Index","Index, High=High cost of living","1972","21.7965"
"Arizona","Cost of Living Index","Index, High=High cost of living","1973","23.40437"
"Arizona","Cost of Living Index","Index, High=High cost of living","1974","25.79478"
"Arizona","Cost of Living Index","Index, High=High cost of living","1975","27.91655"
"Arizona","Cost of Living Index","Index, High=High cost of living","1976","29.52202"
"Arizona","Cost of Living Index","Index, High=High cost of living","1977","32.42824"
"Arizona","Cost of Living Index","Index, High=High cost of living","1978","35.59452"
"Arizona","Cost of Living Index","Index, High=High cost of living","1979","39.68665"
"Arizona","Cost of Living Index","Index, High=High cost of living","1980","44.52519"
"Arizona","Cost of Living Index","Index, High=High cost of living","1981","48.55455"
"Arizona","Cost of Living Index","Index, High=High cost of living","1982","50.82706"
"Arizona","Cost of Living Index","Index, High=High cost of living","1983","52.38518"
"Arizona","Cost of Living Index","Index, High=High cost of living","1984","54.12309"
"Arizona","Cost of Living Index","Index, High=High cost of living","1985","55.76398"
"Arizona","Cost of Living Index","Index, High=High cost of living","1986","56.73304"
"Arizona","Cost of Living Index","Index, High=High cost of living","1987","58.47784"
"Arizona","Cost of Living Index","Index, High=High cost of living","1988","60.78718"
"Arizona","Cost of Living Index","Index, High=High cost of living","1989","63.55413"
"Arizona","Cost of Living Index","Index, High=High cost of living","1990","67.00041"
"Arizona","Cost of Living Index","Index, High=High cost of living","1991","69.29797"
"Arizona","Cost of Living Index","Index, High=High cost of living","1992","71.11115"
"Arizona","Cost of Living Index","Index, High=High cost of living","1993","72.9142"
"Arizona","Cost of Living Index","Index, High=High cost of living","1994","74.75923"
"Arizona","Cost of Living Index","Index, High=High cost of living","1995","76.73343"
"Arizona","Cost of Living Index","Index, High=High cost of living","1996","78.57844"
"Arizona","Cost of Living Index","Index, High=High cost of living","1997","80.10783"
"Arizona","Cost of Living Index","Index, High=High cost of living","1998","82.21519"
"Arizona","Cost of Living Index","Index, High=High cost of living","1999","84.7194"
"Arizona","Cost of Living Index","Index, High=High cost of living","2000","88.20074"
"Arizona","Cost of Living Index","Index, High=High cost of living","2001","91.10429"
"Arizona","Cost of Living Index","Index, High=High cost of living","2002","93.56774"
"Arizona","Cost of Living Index","Index, High=High cost of living","2003","96.44807"
"Arizona","Cost of Living Index","Index, High=High cost of living","2016","98.1"
"Arizona","Cost of Living Index","Index, High=High cost of living","2017","95.6"
"Arizona","Cost of Living Index","Index, High=High cost of living","2019","99.6"
"Arizona","Cost of Living Index","Index, High=High cost of living","2020","101.3"
